"RecordType","Survey","Quarter","Country","Ship","Gear","SweepLngt","GearEx","DoorType","StNo","HaulNo","Year","Month","Day","TimeShot","DepthStratum","HaulDur","DayNight","ShootLat","ShootLong","HaulLat","HaulLong","StatRec","Depth","HaulVal","HydroStNo","StdSpecRecCode","BySpecRecCode","DataType","Netopening","Rigging","Tickler","Distance","Warplngt","Warpdia","WarpDen","DoorSurface","DoorWgt","DoorSpread","WingSpread","Buoyancy","KiteDim","WgtGroundRope","TowDir","GroundSpeed","SpeedWater","SurCurDir","SurCurSpeed","BotCurDir","BotCurSpeed","WindDir","WindSpeed","SwellDir","SwellHeight","SurTemp","BotTemp","SurSal","BotSal","ThermoCline","ThClineDepth","CodendMesh","SecchiDepth","Turbidity","TidePhase","TideSpeed","PelSampType","MinTrawlDepth","MaxTrawlDepth","DateofCalculation"
"HH","NS-IBTS",3,"SE","26D4","GOV",60,"S",NA,16,8,2012,8,13,820,NA,30,"D",57.759,9.7967,57.7435,9.7487,"44F9",38,"V","15",1,1,"C",5.2,NA,NA,3408,185,NA,NA,6.5,1050,65,-9,168,0.7,811,240,3.7,-9,23,0.6,NA,-9,90,4,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"SE","26D4","GOV",60,"S",NA,17,9,2012,8,13,1026,NA,30,"D",57.801,9.3488,57.7848,9.3015,"44F9",88,"V","18",1,1,"C",4.6,NA,NA,3315,320,NA,NA,6.5,1050,65,-9,168,0.7,811,239,3.7,-9,NA,-9,NA,-9,80,4,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"SE","26D4","GOV",60,"S",NA,20,10,2012,8,13,1305,NA,30,"D",57.8443,9.0742,57.8307,9.0215,"44F9",209,"V","19",1,1,"C",5.5,NA,NA,3426,662,NA,NA,6.5,1050,68,-9,168,0.7,811,244,3.8,-9,5,0.7,NA,-9,80,5,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"SE","26D4","GOV",60,"S",NA,21,11,2012,8,13,1527,NA,30,"D",57.6002,9.1375,57.5815,9.0893,"44F9",34,"V","22",1,1,"C",5.1,NA,NA,3500,205,NA,NA,6.5,1050,64,-9,168,0.7,811,235,3.8,-9,9,0.4,NA,-9,60,8,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"SE","26D4","GOV",60,"S",NA,24,12,2012,8,14,528,NA,30,"D",57.572,8.9167,57.5857,8.9707,"44F8",45,"V","23",1,1,"C",5.1,NA,NA,3463,255,NA,NA,6.5,1050,68,-9,168,0.7,811,64,3.7,-9,36,0.4,NA,-9,130,3,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"SE","26D4","GOV",60,"S",NA,25,13,2012,8,14,704,NA,30,"D",57.5843,9.0188,57.5982,9.071,"44F9",40,"V","23",1,1,"C",5.6,NA,NA,3463,247,NA,NA,6.5,1050,63,-9,168,0.7,811,67,3.7,-9,5,0.3,NA,-9,200,3,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"SE","26D4","GOV",60,"S",NA,27,14,2012,8,14,920,NA,30,"D",57.5907,9.2355,57.5715,9.1897,"44F9",26,"V","26",1,1,"C",6,NA,NA,3482,175,NA,NA,6.5,1050,57,-9,168,0.7,811,232,3.8,-9,27,0.4,NA,-9,130,4,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"SE","26D4","GOV",60,"S",NA,30,15,2012,8,14,1223,NA,30,"D",57.375,9.0643,57.3733,9.1203,"43F9",21,"V","29",1,1,"C",6,NA,NA,3334,188,NA,NA,6.5,1050,58,-9,168,0.7,811,92,3.7,-9,32,0.4,NA,-9,70,7,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"SE","26D4","GOV",60,"S",NA,31,16,2012,8,14,1415,NA,25,"D",57.4872,9.093,57.4872,9.1418,"43F9",24,"V","28",1,1,"C",5.7,NA,NA,2871,180,NA,NA,6.5,1050,60,-9,168,0.7,811,91,3.7,-9,NA,-9,NA,-9,50,10,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"SE","26D4","GOV",60,"S",NA,33,17,2012,8,15,543,NA,30,"D",58.1157,10.8618,58.0853,10.862,"45G0",191,"V","32",1,1,"C",4.8,NA,NA,3408,700,NA,NA,6.5,1050,74,-9,168,0.7,811,183,3.7,-9,5,0.8,NA,-9,80,5,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
